participant_id,condition,age,gender,education,aut_fluency,trust_item1,trust_item2,trust_item3,trust_item4,trust_item5,trust_mean,timestamp
1122,Early-AI-Unlabeled,18,Female,Bachelor's Degree,7,6,6,4,4,6,5.2,2024-03-02 01:54:00
1123,Early-AI-Unlabeled,22,Female,Graduate Degree,7,4,4,5,4,5,4.4,2024-03-02 16:51:00
1124,Early-AI-Unlabeled,31,Male,Some College,9,5,5,5,5,5,5.0,2024-03-01 19:02:00
1125,Early-AI-Unlabeled,25,Male,Some College,6,3,3,4,3,5,3.6,2024-03-02 14:59:00
1126,Early-AI-Unlabeled,25,Male,Some College,8,4,4,4,4,4,4.0,2024-03-01 20:30:00
1127,Early-AI-Unlabeled,31,Male,Some College,7,3,4,6,4,5,4.4,2024-03-01 17:13:00
1128,Early-AI-Unlabeled,45,Male,High School,6,6,5,5,5,5,5.2,2024-03-01 17:09:00
1129,Early-AI-Unlabeled,25,Female,Some College,5,4,5,6,4,5,4.8,2024-03-01 15:29:00
1130,Early-AI-Unlabeled,41,Non-binary,Graduate Degree,5,7,6,6,7,6,6.4,2024-03-01 13:54:00
1131,Early-AI-Unlabeled,35,Female,Some College,6,4,4,6,5,5,4.8,2024-03-02 08:12:00
1132,Early-AI-Unlabeled,21,Non-binary,High School,7,6,7,6,6,6,6.2,2024-03-02 13:37:00
1133,Early-AI-Unlabeled,32,Male,Graduate Degree,7,3,3,4,3,3,3.2,2024-03-01 19:48:00
1134,Early-AI-Unlabeled,34,Male,Some College,12,5,6,5,5,5,5.2,2024-03-02 16:13:00
1135,Early-AI-Unlabeled,25,Female,Some College,9,5,5,5,6,6,5.4,2024-03-01 18:27:00
1136,Early-AI-Unlabeled,30,Male,Graduate Degree,9,4,4,5,4,5,4.4,2024-03-01 16:24:00
1137,Early-AI-Unlabeled,31,Male,Some College,9,3,4,5,4,5,4.2,2024-03-01 15:02:00
1138,Early-AI-Unlabeled,44,Female,Bachelor's Degree,10,6,5,4,4,4,4.6,2024-03-02 21:10:00
1139,Early-AI-Unlabeled,27,Female,High School,8,6,6,4,3,6,5.0,2024-03-02 05:11:00
1140,Early-AI-Unlabeled,19,Female,Some College,7,6,5,3,5,6,5.0,2024-03-01 21:21:00
1141,Early-AI-Unlabeled,18,Female,Bachelor's Degree,8,5,5,4,6,5,5.0,2024-03-02 19:01:00
1142,Early-AI-Unlabeled,30,Female,Bachelor's Degree,6,6,4,4,6,4,4.8,2024-03-01 20:19:00
1143,Early-AI-Unlabeled,25,Male,Some College,10,5,7,5,6,6,5.8,2024-03-02 12:22:00
1144,Early-AI-Unlabeled,42,Female,Some College,11,5,7,5,5,5,5.4,2024-03-02 11:12:00
1145,Early-AI-Unlabeled,19,Female,Graduate Degree,6,4,5,4,5,3,4.2,2024-03-02 07:38:00
1146,Early-AI-Unlabeled,18,Female,Bachelor's Degree,11,6,6,7,6,7,6.4,2024-03-02 20:39:00
1147,Early-AI-Unlabeled,31,Male,Graduate Degree,8,6,5,5,5,4,5.0,2024-03-01 10:02:00
1148,Early-AI-Unlabeled,49,Male,Bachelor's Degree,5,4,5,5,5,4,4.6,2024-03-02 04:22:00
1149,Late-AI-Labeled,29,Male,Some College,8,6,6,6,5,4,5.4,2024-03-02 05:28:00
1150,Late-AI-Labeled,34,Male,Bachelor's Degree,6,6,6,7,6,7,6.4,2024-03-01 13:15:00
1151,Late-AI-Labeled,36,Male,High School,4,6,6,5,6,5,5.6,2024-03-01 11:14:00
1152,Late-AI-Labeled,26,Male,Graduate Degree,9,4,5,3,4,4,4.0,2024-03-01 23:34:00
1153,Late-AI-Labeled,24,Male,Bachelor's Degree,9,4,5,4,5,4,4.4,2024-03-01 22:41:00
1154,Late-AI-Labeled,33,Female,Some College,9,4,3,5,3,4,3.8,2024-03-02 20:35:00
1155,Late-AI-Labeled,44,Male,Some College,12,6,6,5,5,6,5.6,2024-03-01 22:42:00
1156,Late-AI-Labeled,29,Male,Graduate Degree,7,6,4,5,4,4,4.6,2024-03-02 01:13:00
1157,Late-AI-Labeled,30,Male,Graduate Degree,7,5,5,4,4,3,4.2,2024-03-02 14:37:00
1158,Late-AI-Labeled,27,Male,Some College,10,4,4,3,5,4,4.0,2024-03-01 11:00:00
1159,Late-AI-Labeled,27,Male,Graduate Degree,4,5,4,3,5,7,4.8,2024-03-02 12:17:00
1160,Late-AI-Labeled,45,Male,Bachelor's Degree,7,4,4,5,4,4,4.2,2024-03-02 07:44:00
1161,Late-AI-Labeled,23,Male,Bachelor's Degree,6,5,7,5,6,5,5.6,2024-03-02 01:47:00
1162,Late-AI-Labeled,18,Female,High School,9,5,4,4,5,4,4.4,2024-03-02 00:24:00
1163,Late-AI-Labeled,33,Female,High School,5,4,3,3,3,4,3.4,2024-03-01 19:44:00
1164,Late-AI-Labeled,22,Male,Graduate Degree,8,5,4,5,4,3,4.2,2024-03-02 18:52:00
1165,Late-AI-Labeled,34,Female,Some College,9,7,5,5,5,6,5.6,2024-03-02 19:28:00
1166,Late-AI-Labeled,25,Female,Bachelor's Degree,6,6,5,5,5,4,5.0,2024-03-01 13:01:00
1167,Late-AI-Labeled,38,Female,Some College,7,5,5,6,5,4,5.0,2024-03-03 00:10:00
1168,Late-AI-Labeled,39,Male,Some College,6,5,4,5,5,4,4.6,2024-03-02 11:59:00
1169,Late-AI-Labeled,25,Male,High School,10,4,4,5,6,4,4.6,2024-03-01 22:22:00
1170,Late-AI-Labeled,31,Male,Some College,10,4,4,5,5,6,4.8,2024-03-02 01:03:00
1171,Late-AI-Labeled,36,Female,Graduate Degree,8,5,5,6,4,6,5.2,2024-03-01 10:08:00
1172,Late-AI-Labeled,42,Female,Bachelor's Degree,7,6,5,6,7,6,6.0,2024-03-02 04:12:00
1173,Late-AI-Labeled,29,Female,Bachelor's Degree,7,6,7,7,7,6,6.6,2024-03-01 12:15:00
1174,Late-AI-Labeled,34,Male,Bachelor's Degree,7,5,3,4,4,4,4.0,2024-03-02 21:27:00
1175,Late-AI-Labeled,36,Female,Some College,7,6,4,4,5,5,4.8,2024-03-02 23:50:00
1176,Late-AI-Labeled,34,Male,Graduate Degree,8,5,6,6,5,4,5.2,2024-03-03 00:19:00
1177,Late-AI-Labeled,40,Male,Some College,7,4,5,4,5,4,4.4,2024-03-01 21:25:00
1178,Late-AI-Labeled,35,Male,Graduate Degree,7,5,4,5,4,5,4.6,2024-03-02 13:08:00
1179,Late-AI-Labeled,29,Female,Some College,7,4,5,5,6,7,5.4,2024-03-01 13:36:00
1180,Late-AI-Labeled,30,Male,Bachelor's Degree,7,6,4,5,6,5,5.2,2024-03-01 10:00:00
1181,Late-AI-Labeled,32,Female,Some College,10,3,5,5,4,5,4.4,2024-03-02 16:53:00
1182,Late-AI-Labeled,45,Male,Graduate Degree,10,4,5,4,6,5,4.8,2024-03-02 19:59:00
1183,Late-AI-Labeled,32,Male,Some College,9,4,4,3,4,4,3.8,2024-03-02 21:40:00
1184,Late-AI-Labeled,27,Male,Bachelor's Degree,6,3,2,4,4,3,3.2,2024-03-02 14:32:00
1185,Late-AI-Labeled,28,Male,Some College,6,3,3,4,3,3,3.2,2024-03-02 07:14:00
1186,Late-AI-Labeled,28,Female,High School,6,6,6,5,5,5,5.4,2024-03-02 15:37:00
1187,Late-AI-Labeled,33,Male,Bachelor's Degree,9,4,5,5,4,4,4.4,2024-03-01 18:26:00
1188,Late-AI-Labeled,18,Female,Some College,6,5,5,4,5,5,4.8,2024-03-02 11:11:00
1189,Late-AI-Labeled,21,Male,Bachelor's Degree,10,6,6,6,5,6,5.8,2024-03-01 19:21:00
1190,Late-AI-Labeled,21,Female,Some College,8,3,4,5,5,4,4.2,2024-03-02 18:45:00
1191,Late-AI-Labeled,42,Male,High School,6,5,3,5,5,4,4.4,2024-03-02 05:00:00
1192,Late-AI-Labeled,43,Male,High School,7,5,5,3,6,4,4.6,2024-03-01 14:13:00
1193,Late-AI-Labeled,40,Female,Bachelor's Degree,10,4,4,4,5,5,4.4,2024-03-02 20:44:00
1194,Late-AI-Labeled,26,Female,Bachelor's Degree,7,7,5,5,6,6,5.8,2024-03-02 05:36:00
1195,Late-AI-Labeled,24,Female,Bachelor's Degree,8,5,5,5,5,5,5.0,2024-03-01 11:16:00
1196,Late-AI-Labeled,28,Female,High School,11,5,6,6,5,6,5.6,2024-03-02 02:09:00
1197,Late-AI-Labeled,18,Female,Bachelor's Degree,5,7,7,7,5,6,6.4,2024-03-02 20:56:00
1198,Late-AI-Unlabeled,24,Female,Bachelor's Degree,6,4,2,3,4,2,3.0,2024-03-01 20:01:00
1199,Late-AI-Unlabeled,18,Non-binary,High School,7,7,5,6,5,6,5.8,2024-03-02 23:28:00
1200,Late-AI-Unlabeled,54,Female,High School,4,5,6,5,5,5,5.2,2024-03-01 10:26:00
1201,Late-AI-Unlabeled,33,Female,High School,7,5,6,5,4,6,5.2,2024-03-02 20:23:00
1202,Late-AI-Unlabeled,23,Male,Some College,6,5,4,3,3,3,3.6,2024-03-02 06:48:00
1203,Late-AI-Unlabeled,35,Male,High School,9,5,4,5,5,3,4.4,2024-03-02 13:20:00
1204,Late-AI-Unlabeled,36,Female,Some College,8,6,5,6,5,5,5.4,2024-03-01 17:14:00
1205,Late-AI-Unlabeled,25,Female,High School,9,6,6,6,5,6,5.8,2024-03-02 12:27:00
1206,Late-AI-Unlabeled,38,Male,Graduate Degree,9,6,5,4,5,5,5.0,2024-03-02 17:22:00
1207,Late-AI-Unlabeled,25,Female,Bachelor's Degree,7,3,3,3,4,4,3.4,2024-03-02 02:48:00
1208,Late-AI-Unlabeled,18,Female,Bachelor's Degree,6,5,5,4,6,5,5.0,2024-03-02 08:44:00
1209,Late-AI-Unlabeled,31,Female,Some College,8,2,3,3,2,2,2.4,2024-03-01 18:56:00
1210,Late-AI-Unlabeled,38,Male,Graduate Degree,6,7,6,5,6,5,5.8,2024-03-01 16:29:00
1211,Late-AI-Unlabeled,25,Male,Bachelor's Degree,7,5,4,4,4,4,4.2,2024-03-01 17:04:00
1212,Late-AI-Unlabeled,38,Female,Bachelor's Degree,6,3,3,4,4,4,3.6,2024-03-01 19:45:00
1213,Late-AI-Unlabeled,38,Female,High School,7,5,3,5,6,6,5.0,2024-03-02 12:09:00
1214,Late-AI-Unlabeled,39,Male,Graduate Degree,10,5,4,5,5,6,5.0,2024-03-01 20:01:00
1215,Late-AI-Unlabeled,29,Male,Some College,7,2,3,3,3,3,2.8,2024-03-01 21:37:00
1216,Late-AI-Unlabeled,27,Male,High School,10,5,6,5,6,5,5.4,2024-03-01 13:48:00
1217,Late-AI-Unlabeled,18,Female,Some College,9,5,3,5,3,4,4.0,2024-03-01 21:00:00
1218,Late-AI-Unlabeled,28,Female,Bachelor's Degree,9,4,5,4,5,4,4.4,2024-03-01 19:37:00
1219,Late-AI-Unlabeled,18,Female,Some College,7,5,5,5,4,6,5.0,2024-03-02 23:02:00
1220,Late-AI-Unlabeled,37,Female,High School,9,6,5,5,5,6,5.4,2024-03-01 17:18:00
1221,Late-AI-Unlabeled,20,Female,Bachelor's Degree,5,5,5,5,5,6,5.2,2024-03-01 19:33:00
1222,Late-AI-Unlabeled,18,Female,Bachelor's Degree,6,4,5,6,5,5,5.0,2024-03-02 12:53:00
1223,Late-AI-Unlabeled,20,Female,Bachelor's Degree,6,6,5,6,6,7,6.0,2024-03-02 18:50:00
1224,Late-AI-Unlabeled,44,Female,Bachelor's Degree,5,5,5,5,4,5,4.8,2024-03-01 10:54:00
1225,Late-AI-Unlabeled,23,Female,High School,12,3,5,3,3,3,3.4,2024-03-01 20:13:00
1226,Late-AI-Unlabeled,29,Male,Some College,10,3,3,4,2,4,3.2,2024-03-02 13:56:00
1227,Late-AI-Unlabeled,48,Female,Some College,5,5,5,6,6,5,5.4,2024-03-02 05:57:00
1228,Late-AI-Unlabeled,37,Male,Bachelor's Degree,5,6,6,6,5,7,6.0,2024-03-02 22:33:00
1229,Late-AI-Unlabeled,38,Male,Bachelor's Degree,7,4,6,4,4,4,4.4,2024-03-02 23:14:00
1230,Late-AI-Unlabeled,37,Non-binary,Bachelor's Degree,7,5,5,4,3,5,4.4,2024-03-01 11:26:00
1231,Late-AI-Unlabeled,25,Male,Bachelor's Degree,9,4,4,3,3,4,3.6,2024-03-02 21:05:00
1232,Late-AI-Unlabeled,32,Female,Some College,9,6,6,5,6,7,6.0,2024-03-01 15:51:00
1233,Late-AI-Unlabeled,30,Female,Bachelor's Degree,11,4,4,3,2,4,3.4,2024-03-02 13:07:00
1234,Late-AI-Unlabeled,34,Female,Graduate Degree,8,6,4,6,5,5,5.2,2024-03-02 10:32:00
1235,Late-AI-Unlabeled,34,Female,Some College,7,4,3,3,5,3,3.6,2024-03-01 11:16:00
1236,Late-AI-Unlabeled,36,Female,Bachelor's Degree,8,5,6,6,6,6,5.8,2024-03-01 09:18:00
1237,Late-AI-Unlabeled,26,Male,Graduate Degree,10,4,4,5,5,6,4.8,2024-03-02 22:22:00
1238,Late-AI-Unlabeled,36,Female,Graduate Degree,4,5,6,7,5,4,5.4,2024-03-03 00:37:00
1239,Late-AI-Unlabeled,35,Male,Some College,9,5,5,5,6,5,5.2,2024-03-02 17:39:00
1240,Late-AI-Unlabeled,26,Female,High School,5,6,6,6,5,6,5.8,2024-03-02 22:02:00
1241,Late-AI-Unlabeled,21,Male,Graduate Degree,7,4,3,4,5,5,4.2,2024-03-02 01:41:00
1242,Late-AI-Unlabeled,35,Female,Some College,8,6,6,5,4,6,5.4,2024-03-01 16:28:00
1243,Late-AI-Unlabeled,27,Female,High School,6,6,6,5,7,6,6.0,2024-03-02 17:28:00
1244,Late-AI-Unlabeled,27,Male,Bachelor's Degree,8,3,3,5,3,5,3.8,2024-03-02 00:45:00
1245,Late-AI-Unlabeled,26,Male,Bachelor's Degree,4,4,5,5,5,6,5.0,2024-03-02 07:57:00
1246,Late-AI-Unlabeled,28,Male,Bachelor's Degree,5,3,4,4,4,3,3.6,2024-03-02 10:22:00
